district,school,schtype,adminyear,bookletnumber,sasid,grade,stugrade,lastname,firstname,mi,gender,race_off,dob,yrsinmass,yrsinmass_num,yrsinsch,yrsindis,ever_ell,highneeds,freelunch_off,title1_off,lep_off,lepflep_off,flep_off,sped_off,plan504_off,firstlanguage,natureofdis,levelofneed,spedplacement,nclb_choice,octenr,conenr_sch,conenr_dis,conenr_sta,access_part,ealt,ecomplexity,eteststat,wptopdev,wpcompconv,eitem1,eitem2,eitem3,eitem4,eitem5,eitem6,eitem7,eitem8,eitem9,eitem10,eitem11,eitem12,eitem13,eitem14,eitem15,eitem16,eitem17,eitem18,eitem19,eitem20,eitem21,eitem22,eitem23,eitem24,eitem25,eitem26,eitem27,eitem28,eitem29,eitem30,eitem31,eitem32,eitem33,eitem34,eitem35,eitem36,eitem37,eitem38,eitem39,eitem40,eitem41,eitem42,erawsc,emcpts,eorpts,escaleds,eperflev,eperf2,ecpi,enumin,eassess,esgp,amendela,malt,mcomplexity,mteststat,mitem1,mitem2,mitem3,mitem4,mitem5,mitem6,mitem7,mitem8,mitem9,mitem10,mitem11,mitem12,mitem13,mitem14,mitem15,mitem16,mitem17,mitem18,mitem19,mitem20,mitem21,mitem22,mitem23,mitem24,mitem25,mitem26,mitem27,mitem28,mitem29,mitem30,mitem31,mitem32,mitem33,mitem34,mitem35,mitem36,mitem37,mitem38,mitem39,mitem40,mitem41,mitem42,mrawsc,mmcpts,morpts,mscaleds,mperflev,mperf2,mcpi,mnumin,massess,msgp,amendmat,salt,scomplexity,steststat,scitry,sitem1,sitem2,sitem3,sitem4,sitem5,sitem6,sitem7,sitem8,sitem9,sitem10,sitem11,sitem12,sitem13,sitem14,sitem15,sitem16,sitem17,sitem18,sitem19,sitem20,sitem21,sitem22,sitem23,sitem24,sitem25,sitem26,sitem27,sitem28,sitem29,sitem30,sitem31,sitem32,sitem33,sitem34,sitem35,sitem36,sitem37,sitem38,sitem39,sitem40,sitem41,sitem42,sitem43,sitem44,sitem45,srawsc,smcpts,sorpts,sscaleds,sperflev,sperf2,scpi,snumin,sassess,amendsci,ela_cd,math_cd,sci_cd,accom_l,accom_c,accom_m,accom_s,accom26l,accom29c,accom30m,datachanged,mcasrowid,grade2010,grade2011,grade2012,escaleds2010,escaleds2011,escaleds2012,mscaleds2010,mscaleds2011,mscaleds2012,esgp2010,esgp2011,esgp2012,msgp2010,msgp2011,msgp2012,summarize
DistrictX,5,ES,2013,682515750,1408905,3,3,Smith,John,A,M,H,9/1/04,4,4,4,4,0,1,1,0,0,0,0,1,0,7,11,3,20, ,1, , , , , , ,T, , ,+,C,+,+,B,A,+,A,C,D,1,A,+,B,C,+,D,0,-,+,-,-,+,1,-,-,+,-,+,+,-,-,-,-,1,2,-,+,-,-,-, ,17,12,5,216,W,W,25,1,1, , , , ,T,D,D,0,+,C,+,+,2,+,C,A,0,0,+,B,A,+,0,-,-,-,-,0,0,-,0,-,-,+,-,+,0,0,-,-,-, , , , , , ,10,8,2,210,W,W,25,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,424062353,1020285,3,3,Smith,John,M,M,H,6/29/04,4,4,4,4,1,1,1,0,0,1,1,0,0,7, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,C,C,+,+,+,+,2,D,+,+,+,+,+,2,+,+,+,+,+,2,-,+,+,-,+,+,+,-,+,+,1,1,+,-,+,-,+, ,36,28,8,238,NI,NI,75,1,1, , , , ,T,+,+,1,A, ,+,+,1,+, ,+,1,0,+,+,D,+,2,+,+,+,+,1,1,+,2,-,+,-,+,+,1,0,+,-,+, , , , , , ,29,19,10,244,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,582975335,1681155,3,3,Smith,John, ,M,W,1/1/04,1,1, , ,1,1,1,0,1,1,0,0,0,135, , ,0, ,0, , , ,1, , ,T, , ,+,D,B,A,B,C,+,+,+,+,1,A,+,+,C,B,A,1,+,+,-,+,+,1,-,+,+,-,+,-,+,+,-,-,1,0,+,-,-,+,+, ,23,19,4,220,NI,NI,50,1,1, , , , ,T,+,+,1,+,+,+,D,0,+,+,+,0,0,+,+,C,+,2,-,-,+,+,1,1,+,2,-,-,+,-,+,1,1,+,-,-, , , , , , ,26,17,9,236,NI,NI,75,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,408171609,1987801,3,3,Smith,John,K,F,W,3/9/04,4,4,4,4,0,0,0,0,0,0,0,0,1,267, , ,0, ,1, , , , , , ,T, , ,+,D,+,+,+,+,+,+,+,+,3,+,+,+,+,+,+,1,+,+,-,+,+,2,+,+,+,+,+,+,+,+,+,+,2,0,+,+,+,+,+, ,42,34,8,252,P,P,100,1,1, , , , ,T,+,+,1,+,C,B,+,1,+,+,+,0,0,+,+,+,D,1,+,+,+,+,1,1,+,1,+,+,+,+,+,1,1,+,+,-, , , , , , ,30,22,8,246,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,708941361,1351732,3,3,Smith,John,M,F,M,9/25/03,5+,5,3,3,0,0,0,1,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,+,+,+,B,C,+,+,+,2,+,+,+,+,+,D,1,-,+,+,+,+,2,+,+,+,+,+,+,-,+,+,+,2,2,+,+,+,+,+, ,40,31,9,246,P,P,100,1,1, , , , ,T,+,+,1,D,+,+,+,0,+,C,C,1,0,+,B,D,+,2,+,-,+,+,1,0,-,2,+, ,+,+,-,0,0,+,+,-, , , , , , ,23,16,7,228,NI,NI,50,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,522921439,1259640,3,3,Smith,John,D,M,A,2/6/03,5+,5,3,5,0,1,0,0,0,0,0,1,0,267,11,4,40, ,1, , , , ,1,EP,T, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PRG,W,100,1,1, , ,1,EP,T, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PRG,W,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,677904433,1833359,3,3,Smith,John,R,M,W,5/4/04,4,4,4,4,0,0,0,1,0,0,0,0,0,267, , ,0, ,1, , , , , , ,T, , ,+,+,B,D,B,+,+,+,A,A,2,A,+,+,A,+,C,1,-,+,-,-,+,2,+,+,+,+,+,+,+,-,-,+,1,0,+,+,+,+,+, ,29,23,6,230,NI,NI,75,1,1, , , , ,T,+,+,1,A,C,+,+,0,+,+,A,1,0,C,A,A,+,2,+,-,+,-,1,1,+,0,+,+,+,+,-,0,0,-,-,-, , , , , , ,20,14,6,220,NI,NI,50,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,668174183,1624948,3,3,Smith,John,E,F,H,12/1/03,4,4,4,4,0,0,0,1,0,0,0,0,0,7, , ,0, ,1, , , , , , ,T, , ,+,D,+,+,+,+,A,+,+,+,2,+,+,+,+,+,+,1,-,+,+,+,+,2,+,+,+,+,+,+,+,+,+,-,1,2,-,-,-,+,+, ,37,29,8,240,P,P,100,1,1, , , , ,T,+,+,1,A,+,+,+,2,A,C,+,1,0,+,B,D,B,2,+,+,+,+,1,0,-,2,+,+,+,+,+,1,1,+,+,+, , , , , , ,30,19,11,246,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,797664016,1761110,3,3,Smith,John,C,M,H,5/14/03,5+,5,4,5,0,1,1,0,0,0,0,0,1,267,3,4,1, ,1, , , , , , ,T, , ,+,+,+,+,+,+,+,D,+,+,2,A,+,+,+,B,+,1,-,+,+,-,+,2,-,+,+,-,+,+,-,+,+,-,2,1,+,+,+,-,-, ,33,25,8,234,NI,NI,75,1,1, , , , ,T,+,+,1,+,A,+,+,2,+,+,+,1,0,+,+,C,+,2,+,+,+,+,1,1,-,2,-,+,+,+,+,1,0,+,+,+, , , , , , ,33,22,11,254,P,P,100,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
DistrictX,5,ES,2013,527527177,1336566,3,3,Smith,John,S,M,W,7/23/04,4,4,3,4,0,1,0,1,0,0,0,1,0,267,3,3,20, ,1, , , , , , ,T, , ,+,+,A,+,B,+,A,A,+,A,2,+,C,+,C,A,A,1,+,+,-,-,+,1,-,+,+,-,+,-,+,+,-,-,1,2,+,+,+,-,+, ,26,19,7,226,NI,NI,50,1,1, , , , ,T,+,+,0,D,C,+,+,2,A,+,+,1,0,+,C,A,+,1,+,-,+,+,1,1,-,2,+,-,+,+,-,1,1,+,+,-, , , , , , ,26,16,10,236,NI,NI,75,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , ,0,1.30E+14, , , , , , , , , , , , , , , ,1
